w61	t816	3
w200	t998	3
w458	t308	3
w687	t937	5
w23	t115	1
w276	t833	3
w726	t33	5
w256	t814	5
w830	t90	3
w329	t325	3
w13	t374	3
w743	t243	3
w236	t531	5
w90	t262	5
w38	t803	3
w669	t981	3
w116	t107	3
w779	t819	2
w438	t966	3
w721	t995	3
w583	t97	3
w303	t701	5
w643	t271	5
w82	t11	1
w134	t250	5
w424	t608	3
w195	t316	4
w132	t81	4
w722	t503	3
w410	t64	5
w28	t376	3
w714	t950	3
w338	t607	5
w229	t448	3
w741	t476	5
w812	t751	3
w768	t298	5
w608	t465	5
w387	t1049	5
w47	t854	5
w57	t818	1
w478	t1023	5
w121	t79	3
w304	t951	3
w673	t625	5
w45	t47	3
w678	t360	5
w743	t841	5
w525	t883	1
w482	t11	3
w436	t621	5
w453	t355	3
w735	t397	3
w57	t46	2
w713	t579	3
w527	t432	1
w532	t866	3
w519	t686	3
w561	t467	5
w316	t1003	1
w719	t422	3
w537	t814	5
w760	t639	1
w262	t29	4
w294	t723	3
w536	t1009	5
w141	t466	3
w798	t1010	5
w248	t787	3
w176	t1024	4
w399	t330	3
w490	t490	4
w767	t720	1
w140	t814	5
w130	t525	3
w302	t772	5
w107	t790	2
w731	t702	5
w481	t918	3
w19	t737	3
w696	t938	3
w268	t277	5
w410	t896	3
w282	t560	4
w197	t455	3
w50	t31	5
w636	t943	5
w818	t115	1
w745	t29	1
w494	t258	5
w21	t193	5
w127	t461	3
w696	t942	5
w292	t387	4
w410	t270	3
w179	t107	5
w387	t275	3
w221	t604	4
w441	t930	3
w58	t675	4
w645	t31	5
w638	t883	5
w99	t1018	5
w706	t260	1
w249	t704	5
w705	t260	1
w171	t23	3
w759	t863	2
w396	t678	4
w59	t463	3
w650	t840	3
w743	t379	5
w748	t506	5
w236	t721	5
w159	t887	3
w797	t805	2
w84	t460	3
w481	t801	1
w27	t1011	3
w760	t469	5
w49	t454	3
w167	t604	4
w491	t870	5
w779	t1015	4
w93	t455	3
w485	t224	1
w297	t267	5
w744	t347	5
w260	t106	5
w121	t685	3
w479	t605	5
w487	t544	3
w831	t1043	3
w796	t947	3
w499	t268	1
w154	t193	5
w785	t161	3
w398	t893	2
w502	t43	3
w763	t1035	3
w820	t879	5
w429	t278	3
w244	t78	2
w261	t132	3
w66	t305	1
w429	t1030	3
w256	t699	2
w485	t936	3
w541	t172	5
w297	t640	3
w33	t520	3
w51	t902	3
w29	t692	1
w373	t336	3
w12	t42	3
w198	t921	3
w543	t720	2
w652	t194	3
w478	t24	5
w815	t241	2
w50	t744	5
w137	t538	5
w195	t75	3
w93	t308	3
w653	t484	5
w590	t364	5
w647	t220	3
w105	t842	1
w359	t1033	3
w793	t899	5
w816	t579	3
w603	t1008	3
w584	t1019	1
w663	t61	3
w629	t792	3
w154	t876	1
w811	t958	1
w33	t976	4
w54	t584	3
w393	t137	2
w730	t605	5
w84	t735	3
w704	t326	3
w54	t243	2
w744	t873	1
w822	t910	3
w674	t619	3
w235	t768	4
w156	t245	5
w608	t280	2
w425	t922	3
w785	t579	3
w266	t505	4
w453	t136	3
w570	t636	3
w50	t505	4
w24	t963	5
w169	t182	5
w428	t949	1
w139	t762	3
w205	t15	3
w592	t317	5
w59	t908	3
w664	t62	3
w195	t727	3
w659	t231	3
w578	t978	3
w376	t296	3
w424	t679	3
w474	t1041	3
w623	t1005	5
w517	t679	3
w418	t957	5
w134	t652	3
w439	t481	4
w149	t32	5
w742	t805	2
w222	t125	3
w601	t758	1
w450	t246	5
w258	t661	1
w186	t634	3
w480	t257	3
w127	t219	3
w830	t917	3
w273	t909	5
w37	t917	3
w500	t981	3
w248	t862	2
w133	t599	2
w544	t773	3
w612	t323	5
w453	t939	3
w312	t106	5
w797	t385	2
w46	t44	3
w312	t889	5
w487	t73	5
w435	t937	5
w226	t794	5
w154	t844	5
w619	t827	3
w795	t793	3
w59	t335	1
w30	t284	3
w272	t508	1
w583	t115	3
w131	t957	5
w835	t1043	3
w357	t553	5
w418	t703	3
w585	t867	5
w730	t335	5
w344	t913	3
w395	t496	4
w500	t344	5
w203	t371	3
w283	t908	3
w615	t281	5
w432	t482	3
w339	t115	1
w355	t925	1
w327	t630	3
w502	t268	5
w54	t724	5
w489	t409	3
w46	t536	5
w220	t9	3
w354	t504	3
w520	t586	1
w39	t357	4
w665	t926	3
w57	t858	3
w589	t156	3
w433	t424	3
w410	t29	3
w345	t662	4
w665	t367	3
w798	t778	3
w169	t538	5
w378	t549	3
w774	t529	5
w811	t698	3
w319	t614	5
w534	t310	1
w60	t558	2
w328	t147	5
w509	t770	5
w644	t537	4
w199	t555	5
w203	t502	5
w86	t634	3
w85	t437	5
w51	t927	5
w21	t813	3
w704	t579	3
w147	t974	3
